ID,Week,Rank,Team ID,Region ID,Score,Year,Team,Conference,Conference ID,Division,Region,Season,Event
1,1,1,24,7,195.675,1998,Georgia,SEC,17,1,SE,Regular,AA
2,1,2,73,8,194.025,1998,UCLA,Pac-10,15,1,W,Regular,AA
3,1,3,53,5,193.475,1998,Penn State,Big Ten,3,1,NE,Regular,AA
4,1,4,41,1,192.925,1998,Minnesota,Big Ten,3,1,C,Regular,AA
5,1,5,2,1,192.3,1998,Alabama,SEC,17,1,C,Regular,AA
6,1,6,5,2,191,1998,Arizona State,Pac-10,15,1,MW,Regular,AA
7,1,7,39,1,190.65,1998,10higan,Big Ten,3,1,C,Regular,AA
8,1,8,86,7,190.6,1998,West Virginia,EAGL,21,1,SE,Regular,AA
9,1,9,28,1,190.35,1998,Illinois-Champaign,Big Ten,3,1,C,Regular,AA
10,1,10,50,5,190.15,1998,Ohio State,Big Ten,3,1,NE,Regular,AA
11,1,11,40,1,189.475,1998,10higan State,Big Ten,3,1,C,Regular,AA
12,1,12,44,2,189.325,1998,Nebraska,Big 12,2,1,MW,Regular,AA
13,1,13,4,2,189.2,1998,Arizona,Pac-10,15,1,MW,Regular,AA
14,1,14,45,5,189.025,1998,New Hampshire,EAGL,21,1,NE,Regular,AA
15,1,15,36,1,189,1998,LSU,SEC,17,1,C,Regular,AA
16,1,16,30,1,188.875,1998,Iowa State,Big 12,2,1,C,Regular,AA
17,1,17,37,7,188.575,1998,Maryland,EAGL,21,1,SE,Regular,AA
18,1,18,93,1,188.575,1998,Central 10higan,MAC,9,1,C,Regular,AA
19,1,19,9,8,188.375,1998,Boise State,Big West,4,1,W,Regular,AA
20,1,20,42,1,186.575,1998,Missouri,Big 12,2,1,C,Regular,AA
21,1,21,46,7,186.025,1998,North Carolina,EAGL,21,1,SE,Regular,AA
22,1,22,8,1,185.35,1998,Ball State,MAC,9,1,C,Regular,AA
23,1,23,20,2,185.3,1998,Denver,Ind.,8,1,MW,Regular,AA
24,1,24,51,2,185.225,1998,Oklahoma,Big 12,2,1,MW,Regular,AA
25,1,25,70,7,185.125,1998,Towson,EAGL,21,1,SE,Regular,AA
26,1,26,10,5,185.063,1998,Bowling Green,MAC,9,1,NE,Regular,AA
27,1,27,29,1,184.975,1998,Iowa,Big Ten,3,1,C,Regular,AA
28,1,28,69,2,184.8,1998,Texas Woman's,Ind.,8,2,MW,Regular,AA
29,1,29,23,7,184.55,1998,George Washington,Atlantic 10,1,1,SE,Regular,AA
30,1,30,27,1,184.475,1998,Illinois State,Ind.,8,1,C,Regular,AA
31,1,31,15,8,182.275,1998,Cal State-Fullerton,Big West,4,1,W,Regular,AA
32,1,32,87,1,181.275,1998,Western 10higan,MAC,9,1,C,Regular,AA
33,1,33,59,5,180.825,1998,Rutgers,EAGL,21,1,NE,Regular,AA
34,1,34,90,1,177.9,1998,Winona State,Ind.,8,2,C,Regular,AA
35,1,35,85,5,172.15,1998,West Chester,Ind.,8,2,NE,Regular,AA
36,1,36,48,5,171.1,1998,Northeastern,ECAC,5,1,NE,Regular,AA
37,1,37,11,5,170.75,1998,Bridgeport,ECAC,5,2,NE,Regular,AA
38,1,38,43,5,164.75,1998,MIT,ECAC,5,3,NE,Regular,AA
39,2,1,24,7,195.675,1998,Georgia,SEC,17,1,SE,Regular,AA
